,hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
1707,EL JAGUAR,Hero,164,na,20,190.0,0.8631578947368421
1708,"ELLENTHORPE, MARIAH",Hero,1,na,2,1.0,1.0
1709,"ELLINGTON, DR./TRAVI",Hero,0,na,1,0.0,
1710,"ELLIS, KEN",Hero,132,na,23,253.0,0.5217391304347826
1711,ELO,Hero,1,na,2,1.0,1.0
1712,ELSIE DEE,Hero,22,na,9,36.0,0.6111111111111112
1713,EL TIGRE,Hero,0,na,1,0.0,
1714,EL TORO NEGRO/SERGIO,Hero,25,na,9,36.0,0.6944444444444444
1715,EL TORO ROJO,Hero,0,na,1,0.0,
1716,EL UNO,Hero,0,na,1,0.0,
1717,EL VAMPIRO,Hero,0,na,1,0.0,
1718,ELWOOD,Hero,1,na,2,1.0,1.0
1719,ELYSIA,Hero,24,na,8,28.0,0.8571428571428571
1720,ELYSIUS,Hero,58,na,14,91.0,0.6373626373626373
1721,EMBER,Hero,10,na,5,10.0,1.0
1722,EMPATH/MANUEL ALFONS,Villain,36,na,11,55.0,0.6545454545454545
1723,EMPLATE/MARIUS ST. C,Hero,59,na,14,91.0,0.6483516483516484
1724,EMPRESS R'KILL [SKRU,Hero,4,na,4,6.0,0.6666666666666666
1725,EMPRESS S'BYLL [SKRU,Hero,12,na,7,21.0,0.5714285714285714
1726,ENCHANTER,Hero,0,na,1,0.0,
1727,ENCHANTRESS/AMORA/HE,Villain,974,na,89,3916.0,0.2487231869254341
1728,"ENDO, DR. SUZI",Hero,5,na,5,10.0,0.5
1729,ENFORCER/DELAZNY,Villain,16,na,8,28.0,0.5714285714285714
1730,"ENGLEHART, STEVE",Hero,5,na,4,6.0,0.8333333333333334
1731,ENRAGED,Hero,1,na,2,1.0,1.0
1732,ENRAKT,Hero,28,na,9,36.0,0.7777777777777778
1733,ENTITY II,Hero,1,na,2,1.0,1.0
1734,ENTITY,Hero,1,na,2,1.0,1.0
1735,ENT,Hero,10,na,5,10.0,1.0
1736,EON,Hero,79,na,24,276.0,0.286231884057971
