hero,h_type,rel_ct,node_type,node_ct,p_rel_ct,density
"BALDWIN, JUSTIN",Hero,153897,na,4608,10614528,0.014498713
"BALDWIN, MADELYNE MA",Hero,161771,na,5250,13778625,0.011740722
"BALE, EMERSON",Hero,149715,na,4517,10199386,0.014678825
"BALLANTINE, DEVON",Hero,108362,na,2369,2804896,0.038633161
"BALLANTINE, KAYLA",Hero,164752,na,5572,15520806,0.010614913
"BALLANTINE, MR.",Hero,101258,na,2150,2310175,0.043831311
"BALLANTINE, MRS.",Hero,101258,na,2150,2310175,0.043831311
BALOR,Hero,124126,na,3143,4937653,0.025138664
BAMBI,Hero,141879,na,4046,8183035,0.017338188
"BANCROFT, MARTINE",Hero,132900,na,3580,6406410,0.020744848
BANDIT/,Hero,86903,na,1859,1727011,0.050319888
"BANK, IRVING",Hero,31855,na,636,201930,0.157752687
"BANKS, SHARON",Hero,124112,na,3092,4778686,0.025971993
"BANNER, BETTY ROSS T",Hero,167086,na,5897,17384356,0.009611285
"BANNERJEE, DR.",Hero,34766,na,790,311655,0.111552839
"BANNON, LANCE",Hero,150999,na,4497,10109256,0.014936708
BANSHEE 2013,Hero,114039,na,2635,3470295,0.032861471
BANSHEE II,Hero,130889,na,3541,6267570,0.020883532
BANSHEE/SEAN CASSIDY,Hero,167084,na,5855,17137585,0.009749565
BANTAM/,Hero,93197,na,1996,1991010,0.046808906
"BANTOCK, LT. OLIVER",Hero,39341,na,868,376278,0.104553017
"BAPTISTE, TANTE MATT",Hero,30030,na,618,190653,0.15751129
BARAK,Hero,82826,na,1642,1347261,0.061477323
"BARBAROSSA, MARIO",Hero,23473,na,762,289941,0.08095785
"BARBAROSSA, VINNIE",Hero,93586,na,2178,2370753,0.039475222
BARBARUS,Villain,152963,na,4610,10623745,0.014398218
BARIUM,Hero,127702,na,3080,4741660,0.026931918
"BARKER, MATTHEW T.",Hero,11137,na,319,50721,0.219573747
BARKER,Hero,80888,na,1839,1690041,0.047861561
BARNACLE/,Hero,128040,na,3192,5092836,0.025141198
"BARNETT, MIKE",Hero,109323,na,2510,3148795,0.034718996
BARON BLOOD II/VICTO,Villain,115112,na,2838,4025703,0.02859426
BARON BLOOD/JOHN FAL,Villain,137464,na,3860,7447870,0.018456821
BARON BRIMSTONE/,Hero,137640,na,3712,6887616,0.019983692
BARONESS ZEMO/HEIKE,Villain,116240,na,2672,3568456,0.032574312
BARON MACABRE/,Hero,39224,na,728,264628,0.148223166
BARON MORDO/KARL MOR,Villain,147044,na,4346,9441685,0.015573915
BARON SAMEDI,Hero,8000,na,180,16110,0.496585971
BARON STRUCKER/WOLFG,Villain,161556,na,5374,14437251,0.011190219
BARON ZEBEK,Hero,22723,na,480,114960,0.197660056
BARRACUDA/,Villain,93605,na,1954,1908081,0.049057142
BARRAGE,Hero,136293,na,3545,6281740,0.021696696
"BARRANCO, MARIA ESME",Hero,105010,na,2274,2584401,0.040632239
"BARRENOS, OMAR",Hero,73271,na,1570,1231665,0.05948939
B'ARR,Hero,90661,na,1874,1755001,0.05165866
BARRIER/,Hero,12245,na,362,65341,0.187401478
BARRINGTON,Hero,41988,na,953,453628,0.092560424
"BARRON, RICK",Hero,13400,na,431,92665,0.144606917
"BARROWS, WALTER",Hero,3105,na,135,9045,0.343283582
"BARTLETT, STU",Hero,108767,na,2412,2907666,0.037406979
"BARTON, SEN.",Hero,94916,na,1974,1947351,0.048741085
BARTOS,Hero,76769,na,1489,1107816,0.069297609
BASALLO/LAVA MEN KIN,Hero,121560,na,2984,4450636,0.02731295
BASALTAR,Hero,76769,na,1489,1107816,0.069297609
BASILISK/BASIL ELKS,Villain,126071,na,3289,5407116,0.023315756
BASILISK III/,Villain,129139,na,3296,5430160,0.023781804
BASILISK II,Villain,21834,na,503,126253,0.172938465
BATAL/,Hero,51793,na,956,456490,0.113459221
BATROC/GEORGES BATRO,Villain,158456,na,5090,12951505,0.012234563
BATTERING RAM,Hero,72491,na,1388,962578,0.075309222
BATTERY/,Hero,64743,na,1421,1008910,0.064171234
BATTLEAXE/,Hero,119835,na,2692,3622086,0.033084526
BATTLEAXE II/JEROME,Hero,89267,na,1936,1873080,0.047657868
"BATTLE, MONTGOMERY",Hero,110456,na,2533,3206778,0.034444542
BATTLESTAR/LEMAR HOS,Hero,158777,na,5124,13125126,0.012097179
BATWING/,Hero,82289,na,1876,1758750,0.046788344
BAV-TEK,Hero,4869,na,184,16836,0.289201711
"BAXTER, ABIGAIL",Hero,116440,na,2962,4385241,0.026552703
BAXTER,Hero,29730,na,700,244650,0.12152054
"BAXTER, NOAH",Hero,140125,na,3930,7720485,0.018149766
"BAYLOR, FRANK",Hero,3770,na,139,9591,0.393076843
BAYMAX,Hero,129007,na,3135,4912545,0.026260726
"BAZIN, ALLEGRA",Hero,118990,na,2903,4212253,0.028248541
"BAZIN, ANDREW",Hero,103357,na,2331,2715615,0.038060255
"BAZIN, BRODERICK RIC",Hero,104199,na,2366,2797795,0.037243258
"BAZIN, PHILLIPPE",Hero,128842,na,3448,5942628,0.02168098
"BEACH, GINGER",Hero,159293,na,5035,12673095,0.012569384
"BEACH, SPIDER",Hero,159293,na,5035,12673095,0.012569384
"BEALE, ERIC",Hero,93041,na,2013,2025078,0.045944403
BEAR/,Hero,32186,na,858,367653,0.087544505
BEAST 2013,Hero,33155,na,553,152628,0.217227507
BEAST DOPPELGANGER I,Villain,161760,na,5355,14335335,0.011284006
BEAST DOPPELGANGER,Villain,158091,na,4990,12447555,0.012700566
BEAST/HENRY &HANK& P,Hero,171243,na,6328,20018628,0.008554183
"BEAUMONT, SPENCER",Hero,50031,na,1112,617716,0.080993531
BEAUTIFUL DREAMER II,Hero,98046,na,2226,2476425,0.03959175
BEAUTIFUL DREAMER,Hero,113514,na,2633,3465028,0.032759908
BEAUTY,Hero,132179,na,3561,6338580,0.020853093
"BECKFORD, NOEL",Hero,109820,na,2714,3681541,0.0298299
"BECKLEY, BENNY",Hero,53736,na,996,495510,0.108445844
"BECKMAN, CHARLES",Hero,12855,na,278,38503,0.333870088
"BECKMAN, JOSEPH",Hero,12855,na,278,38503,0.333870088
"BECKMAN, LISA",Hero,12855,na,278,38503,0.333870088
"BECKMAN, SARAH",Hero,12855,na,278,38503,0.333870088
"BEDFORD, BRAD HULK",Hero,57183,na,1078,580503,0.098505951
BEDLAM II/OLISA KABA,Hero,143520,na,3961,7842780,0.018299634
BEDLAM/JESSE AARONSO,Hero,134132,na,3598,6471003,0.020728162
BEEFER,Hero,153200,na,4703,11056753,0.013855786
BEEF/,Villain,73235,na,1567,1226961,0.059688124
"BEERE, JASON",Hero,123909,na,2992,4474536,0.027692033
